back_camera,battery,display,ram,brand_encoded,tier_encoded,price
50,4600,6.74,12,4,2,109999
50,6000,6.7,8,4,2,89999
50,6000,6.7,12,4,2,99999
50,5160,6.78,8,4,2,59999
50,5160,6.8,8,4,2,47999
50,5160,6.7,6,4,0,36999
8,6000,6.67,4,4,1,28449
8,5000,6.67,4,4,0,25399
58,5200,6.78,12,4,2,79999
52,5200,6.78,8,4,0,65999
160,5000,6.78,8,4,0,59999
13,5000,6.6,2,4,0,21549
52,5000,6.78,8,4,2,54500
28,4680,6.34,6,2,0,54750
122,4680,6.34,6,2,0,80100
62,4614,6.4,8,2,0,42999
24,4410,6.1,6,2,0,49999
110,5003,6.7,12,2,2,60999
62,4355,6.3,8,2,0,61999
77,4385,6.1,8,2,0,49999
110,5000,6.7,8,2,2,74999
62,4575,6.2,8,2,0,79999
62,4492,6.1,8,2,0,89999
146,5050,6.7,12,2,2,99999
98,4700,6.3,12,2,0,121999
146,5100,6.3,8,2,0,144750
146,4700,6.3,16,2,2,164999
146,4970,6.3,12,2,0,189999
140,6200,6.3,8,2,0,139999
146,6500,6.7,12,2,2,249750
28,4680,6.34,6,2,0,54750
122,4680,6.34,6,2,0,80100
62,4614,6.4,8,2,0,42999
24,4410,6.1,6,2,0,49999
110,5003,6.7,12,2,2,60999
62,4355,6.3,8,2,0,61999
77,4385,6.1,8,2,0,49999
110,5000,6.7,8,2,2,74999
62,4575,6.2,8,2,0,79999
62,4492,6.1,8,2,0,89999
146,5050,6.7,12,2,2,99999
98,4700,6.3,12,2,0,121999
146,5100,6.3,8,2,0,144750
146,4700,6.3,16,2,2,164999
146,4970,6.3,12,2,0,189999
140,6200,6.3,8,2,0,139999
146,6500,6.7,12,2,2,249750
8,3000,5.6,4,2,0,69999
8,3700,6.0,4,2,0,79999
8,2800,5.7,6,2,0,119999
8,3700,6.3,6,2,0,139999
8,3140,5.8,6,2,0,89999
8,3885,6.2,6,2,0,109999
8,4080,6.0,8,2,0,139999
8,4680,6.34,6,2,0,109999
8,4614,6.4,8,2,0,159999
11.1,5003,6.71,12,2,2,199999
8,4410,6.1,6,2,0,129999
10.8,4355,6.3,8,2,0,169999
10.8,5000,6.7,12,2,2,229999
10.8,4385,6.1,8,2,0,139999
10.5,4575,6.2,8,2,0,179999
10.5,5050,6.7,12,2,2,249999
10.5,4385,6.1,8,2,0,149999
10.8,4600,6.3,8,2,0,189999
10.8,5050,6.7,12,2,2,259999
10.8,5050,6.8,16,2,2,299999
10.8,5500,7.6,16,2,2,399999
53,3700,6.41,6,3,1,29999
76,3800,6.41,6,3,1,32999
72,4000,6.3,6,3,2,43999
66,4300,6.2,8,3,1,36999
109,4510,6.1,12,3,2,43999
100,4500,6.1,8,3,1,39999
69,4500,6.2,8,3,1,14999
108,4500,6.2,12,3,2,43999
120,6260,6.2,16,3,1,129999
120,6260,6.2,12,3,1,114999
50,6100,6.2,16,3,1,84999
50,6100,6.2,16,3,2,94999
60,5000,6.3,12,3,1,49999
106,5000,6.3,12,3,2,84999
74,5000,6.3,16,3,1,54999
