"back_camera","battery","display","name","price","ram"
"50","5600","6.67","RealmeC75x","37,999","6"
"8","5000","6.74","RealmeNote60x","20,999","4"
"54","5000","6.5","RealmeC25Y","23,499","4"
"58","7000","6.77","Realme155G","105,499","12"
"50","6000","6.72","RealmeC75","38,499","8"
"50","5000","6.67","Realme135G","75,999","12"
"32","5000","6.74","RealmeNote60","21,999","4"
"60","5000","6.7","Realme125G","66,499","16"
"8","5000","6.5","RealmeC112021","18,299","4"
"16","6500","6.78","RealmeGT7Pro128","139,999","12"
"16","6500","6.78","RealmeGT7Pro256","149,999","16"
"32","5500","6.78","RealmeGT6128","89,999","8"
"32","5500","6.78","RealmeGT6256","94,999","12"
"32","5500","6.78","RealmeGT6512","99,999","16"
"32","5500","6.78","RealmeGT6T128","84,999","8"
"32","5500","6.78","RealmeGT6T256","89,999","8"
"16","6000","6.83","Realme14ProPlus256","94,999","12"
"16","6000","6.83","Realme14ProPlus512","99,999","12"
"16","5800","6.7","Realme14Pro128","79,999","8"
"16","5800","6.7","Realme14Pro256","84,999","8"
"16","5500","6.6","Realme14x128","64,999","6"
"16","5500","6.6","Realme14x256","69,999","8"
"16","5000","6.5","Realme13Plus128","59,999","8"
"16","5000","6.5","Realme13Plus256","64,999","8"
"16","5000","6.6","Realme13 128","49,999","6"
"16","5000","6.6","Realme13 256","54,999","8"
"16","5200","6.7","Realme13Pro128","74,999","8"
"16","5200","6.7","Realme13Pro256","79,999","12"
"32","5500","6.78","Realme13ProPlus256","94,999","12"
"32","5500","6.78","Realme13ProPlus512","99,999","16"
"16","5100","6.7","RealmeP1Speed128","54,999","8"
"16","5100","6.7","RealmeP1Speed256","59,999","12"
"32","5500","6.78","RealmeP2Pro256","89,999","12"
"32","5500","6.78","RealmeP2Pro512","94,999","16"
"16","5000","6.6","RealmeP1 128","44,999","6"
"16","5000","6.6","RealmeP1 256","49,999","8"
"16","5200","6.7","RealmeP1Pro128","59,999","8"
"16","5200","6.7","RealmeP1Pro256","64,999","12"
"16","5000","6.6","RealmeNarzo70Turbo128","54,999","8"
"16","5000","6.6","RealmeNarzo70Turbo256","59,999","8"
"16","5000","6.5","RealmeNarzoN61128","39,999","6"
"16","5000","6.5","RealmeNarzoN63128","37,999","6"
"16","5000","6.6","RealmeNarzoN655G128","47,999","8"
"16","5200","6.6","RealmeNarzo705G128","52,999","8"
"16","5000","6.6","RealmeC75128","37,999","6"
"16","5000","6.6","RealmeC75256","42,999","8"
"16","5000","6.5","RealmeC61128","32,999","4"
"16","5000","6.6","RealmeC67128","39,999","6"
"16","5000","6.6","RealmeC67256","44,999","8"
"16","5000","6.6","RealmeC65128","37,999","6"
"16","5000","6.6","RealmeC65256","42,999","8"
"16","5000","6.6","RealmeC63128","36,999","6"
"16","5000","6.72","RealmeC55128","39,999","6"
"16","5000","6.72","RealmeC55256","44,999","8"
"16","5200","6.6","RealmeNote60x128","47,999","6"
"16","5200","6.6","RealmeNote60128","49,999","6"
"16","5200","6.6","RealmeNote60256","54,999","8"
"16","5000","6.5","RealmeNote50128","42,999","6"
"16","5200","6.8","RealmeGT7128","124,999","8"
"16","5200","6.8","RealmeGT7256","139,999","12"
"16","5000","6.7","RealmeNeo7128","79,999","8"
"16","5000","6.7","RealmeNeo7256","94,999","12"
"16","5100","6.7","RealmeP2Pro5G128","84,999","8"
"16","5100","6.7","RealmeP2Pro5G256","99,999","12"
"8","7100","10.4","RealmePad64","57,999","4"
"8","7100","10.4","RealmePad128","64,999","6"
"8","8360","11.5","RealmePad2128","74,999","6"
"8","8360","11.5","RealmePad2256","84,999","8"
"8","7100","10.4","RealmePad2Lite64","54,999","4"
"8","7100","10.4","RealmePad2Lite128","61,999","6"
"8","8340","11","RealmePadX64","79,999","4"
"8","8340","11","RealmePadX128","89,999","6"
"5","6400","8.7","RealmePadMini32","44,999","3"
"5","6400","8.7","RealmePadMini64","49,999","4"
"8","7100","10.4","RealmePadSlim64","56,999","4"
"8","7100","10.4","RealmePadSlim128","62,999","6"
"8","7200","10.5","RealmeTechLifePadNeo64","59,999","4"
"8","7200","10.5","RealmeTechLifePadNeo128","64,999","6"
"52","7000","6.75","OppoA6","55,699","8"
"50","7000","6.75","OppoA6s","68,499","8"
"50","6500","6.59","OPPOReno15","159,999","12"
"50","6500","6.59","OppoReno15F","114,299","8"
"200","6200","6.32","OppoReno15Pro","229,999","12"
"13","6500","6.75","OppoA6X","29,299","6"
"50","7000","6.57","OppoA6Pro","83,499","8"
"8","5100","6.67","OppoA5i","27,999","4"
"50","5800","6.83","OppoReno13Pro","146,499","12"
"60","5600","6.59","OppoReno13","118,499","12"
"60","5000","6.67","OppoReno12F5G","69,999","12"
"50","6500","6.75","OppoA6K","48,200","4"
"52","6000","6.67","OppoA5","39,799","6"
"60","6000","6.57","OppoReno14F5G","94,999","8"
"32","6000","6.67","OppoA5x","29,999","4"
"52","5800","6.67","OppoA5Pro","50,499","8"
"32","4805","7.82","Oppo Find N3 512GB","299,999","12"
"32","4300","6.8","Oppo Find N3 Flip 256GB","199,999","12"
"50","5000","6.8","Oppo Find X8 Pro 256GB","249,999","12"
"50","4800","6.7","Oppo Find X8 256GB","199,999","8"
"50","5800","6.67","Oppo Reno13 F 4G 256GB","79,999","8"
"50","5800","6.67","Oppo Reno13 F 256GB","79,999","8"
"50","5800","6.83","Oppo Reno13 Pro 512GB","129,999","12"
"50","5600","6.59","Oppo Reno13 256GB","99,999","12"
"50","5000","6.7","Oppo Reno12 F 4G 256GB","69,999","8"
"50","5000","6.7","Oppo Reno12 F 256GB","69,999","8"
"50","4600","6.74","Oppo Reno12 Pro 512GB","119,999","12"
"50","5000","6.7","Oppo Reno12 256GB","89,999","8"
"64","5000","6.7","Oppo Reno11 F 256GB","79,999","8"
"50","4600","6.74","Oppo Reno11 Pro 512GB","109,999","12"
"50","6000","6.7","Oppo A5 Pro 256GB","89,999","8"
"50","6000","6.7","Oppo A5 Pro 512GB","99,999","12"
"50","5160","6.78","InfinixHot60ProPlus","59,999","8"
"50","5160","6.8","InfinixHot60Pro","47,999","8"
"50","5160","6.7","InfinixHot60i","36,999","6"
"8","6000","6.67","InfinixSmart10Plus","28,449","4"
"8","5000","6.67","InfinixSmart10","25,399","4"
"58","5200","6.78","InfinixNote50Pro","79,999","12"
"52","5200","6.78","InfinixNote50","65,999","8"
"160","5000","6.78","InfinixZero404G","59,999","8"
"13","5000","6.6","InfinixSmart10HD","21,549","2"
"52","5000","6.78","InfinixHot50ProPlus","54,500","8"
"28","4680","6.34","GooglePixel4a5G","54750","6"
"122","4680","6.34","GooglePixel5a","80100","6"
"62","4614","6.4","GooglePixel6","42999","8"
"24","4410","6.1","GooglePixel6a","49999","6"
"110","5003","6.7","GooglePixel6Pro","60999","12"
